studentno,studlastname,studmidname,studfirstname,studsuffixname,birthday,age,homeaddress
2014-94519,Wright,Frazier,Brenda,,2/17/1990,26,6873 Corscot Avenue
2000-08769,Martin,Hunt,Brian,,11/13/1996,20,84180 Golf Course Alley
2016-10646,Simpson,Bowman,Lillian,,8/14/1990,26,95 Tennyson Drive
2018-07169,Reyes,Long,Billy,III,9/3/1991,25,3448 Park Meadow Point
2003-00138,Alvarez,Bailey,Maria,,9/25/1991,25,6205 Coleman Plaza
2013-18647,Elliott,Rose,Rebecca,,9/29/1990,26,5342 Texas Park
2008-37001,Simpson,Bennett,Tina,,12/31/1996,20,14 Mariners Cove Crossing
2006-60951,Day,Hayes,Stephanie,,8/15/1996,20,63 Myrtle Way
2006-05626,Simpson,Roberts,Ruby,,1/4/1990,26,3650 Cascade Lane
2015-23468,Palmer,Carpenter,Marilyn,,11/17/1993,23,51790 Upham Circle
2014-79951,Arnold,Nguyen,Gerald,III,11/4/1994,22,8 Truax Alley
2014-77098,Rice,Sanders,Ernest,III,11/19/1993,23,66826 Hayes Park
2013-94397,Howell,Bryant,Douglas,,2/8/1994,22,19 Everett Park
2018-37319,Daniels,Brooks,Joe,,9/3/1990,26,3 Melody Trail
2003-83249,Rodriguez,,Jesse,,5/26/1990,26,9 Harbort Trail
2015-28044,Medina,Hicks,Scott,,3/23/1996,20,4166 Graceland Hill
2011-63887,Wilson,,Gregory,,12/15/1993,23,10 Westport Trail
2016-67629,Hudson,Ford,Rachel,,6/22/1996,20,48 Brown Trail
2005-48180,Barnes,Robertson,Thomas,,4/30/1992,24,23824 Iowa Trail
2007-37756,Willis,Stone,James,III,5/30/1996,20,083 Warrior Parkway
2019-98940,Dunn,Wood,Martha,,7/21/1997,19,068 Hanover Road
2005-97847,Long,Armstrong,Martha,,2/14/1995,21,87 Atwood Plaza
2008-33701,Meyer,Thompson,Dorothy,,6/19/1993,23,991 Pleasure Alley
2015-76786,Dunn,Barnes,Lillian,,8/26/1991,25,0 Meadow Vale Hill
2008-57411,Hansen,Thomas,Joe,,1/31/1997,19,03 Evergreen Alley
2014-16051,Howard,Fields,Julia,,9/14/1995,21,760 Grasskamp Circle
2011-17557,Hunter,Perez,Lori,,11/26/1997,19,2330 Vermont Trail
2018-82420,Webb,Sanders,Stephen,,12/22/1990,26,98 Buena Vista Avenue
2004-83715,Matthews,Watkins,Stephen,,2/19/1995,21,9621 Lakewood Circle
2015-48586,Anderson,Hill,Steven,,1/13/1990,26,70471 Washington Hill
2007-71643,James,Wagner,Thomas,,2/7/1992,24,40 Anniversary Center
2011-37699,Fuller,Miller,Angela,,5/31/1997,19,0109 Karstens Pass
2015-55901,Gonzalez,Hudson,Matthew,,6/2/1990,26,9 Gerald Terrace
2000-47173,Chavez,Robertson,Ronald,II,5/24/1996,20,3 Birchwood Hill
2004-74210,Campbell,Hunt,Johnny,,7/3/1992,24,57 Florence Pass
2012-24879,Flores,Hudson,Teresa,,3/29/1990,26,2016 Gina Lane
2009-50325,Willis,,Amy,,3/19/1996,20,45 Longview Center
2008-65524,Riley,Perez,Julia,,7/28/1995,21,2 Clove Trail
2013-95653,Peterson,Stewart,Pamela,II,8/30/1995,21,58530 Hooker Drive
2015-40408,Morales,Knight,Brandon,,1/24/1997,19,037 Prairieview Place
2003-90517,Young,Mason,Elizabeth,III,3/17/1991,25,26 Del Sol Way
2000-18399,Parker,Cruz,Angela,III,9/25/1991,25,35 Di Loreto Crossing
2008-59233,Powell,,Jesse,,10/31/1997,19,627 Pleasure Center
2016-42712,Dixon,James,Susan,,6/15/1993,23,32 Brickson Park Court
2015-12201,Hill,Jordan,Henry,,4/5/1990,26,712 South Pass
2009-60116,Torres,,Carolyn,III,8/24/1994,22,7532 Banding Junction
2004-34655,Moore,Stanley,Donald,III,7/22/1992,24,1653 Burning Wood Junction
2001-17626,Lane,Stone,Carl,,2/11/1992,24,54400 Main Circle
2011-86085,Turner,Burns,Cynthia,,12/2/1991,25,28924 Lerdahl Avenue
2016-09690,Ross,Olson,Ruth,,6/1/1990,26,9219 Messerschmidt Place
2014-57450,Harris,Griffin,Philip,,12/21/1991,25,0 Chinook Center
2000-55062,Wood,Reyes,Alice,,4/17/1993,23,42305 Loftsgordon Junction
2007-60860,Davis,Clark,Carl,,10/21/1991,25,53 Maryland Road
2015-63322,Bennett,,Denise,I,11/13/1994,22,853 Heffernan Way
2015-00371,Castillo,Nichols,Antonio,II,3/27/1994,22,10 Beilfuss Way
2009-80987,Reid,Palmer,Jennifer,III,1/26/1992,24,770 Rieder Drive
2015-03375,Arnold,Daniels,Roy,,4/24/1992,24,7 Hintze Point
2015-56106,Williams,Hughes,Kathy,,10/17/1996,20,1 Blackbird Parkway
2015-43964,Romero,Baker,Alice,,5/12/1994,22,20 Rigney Lane
2014-17436,Morales,Rodriguez,Christina,II,4/4/1990,26,8 Browning Pass
2011-97396,Pierce,James,Harry,,5/16/1994,22,380 Arrowood Road
2014-81476,Morris,Jenkins,Antonio,,9/28/1991,25,9268 Hermina Drive
2003-55299,Graham,Thompson,Chris,,12/5/1990,26,138 Northview Road
2003-83327,Little,Thompson,Ruth,,7/12/1990,26,14813 Bellgrove Drive
2011-72189,Edwards,Burton,Henry,,7/23/1997,19,8 Ridge Oak Trail
2011-54399,Robertson,Weaver,Jessica,,1/31/1997,19,4 Thompson Trail
2000-63065,Simmons,Harvey,Brenda,II,2/25/1997,19,8379 Tennessee Place
2006-00219,Allen,,Lisa,,4/4/1996,20,0 Helena Lane
2000-47888,Young,Hayes,Wayne,,11/4/1990,26,7156 Sage Point
2017-05063,Flores,Ross,Jason,,2/4/1990,26,4830 Arrowood Lane
2007-84568,Austin,Green,Evelyn,,8/4/1994,22,33602 Longview Parkway
2015-42081,Long,,Teresa,,2/26/1997,19,2 Sundown Crossing
2017-91612,Little,Clark,Russell,,5/27/1992,24,195 Homewood Parkway
2016-74003,Gomez,Freeman,George,,8/19/1995,21,30 Hayes Street
2005-09846,Andrews,Ray,Wanda,II,6/6/1993,23,778 Arapahoe Parkway
2007-06783,Powell,Gonzales,Kenneth,III,11/27/1990,26,88 Dunning Road
2016-48434,Palmer,Porter,Gregory,,3/26/1995,21,8151 Namekagon Trail
2018-36515,Tucker,,Gary,,2/15/1998,18,9 Hoard Circle
2005-93900,Wallace,Frazier,Ashley,,10/27/1995,21,68621 Erie Junction
2018-95208,Johnson,Torres,Brian,I,12/19/1990,26,1 Lerdahl Avenue
2006-60413,Howard,Lee,Benjamin,,11/6/1994,22,5 Artisan Pass
2015-40612,Williamson,Ford,Joshua,,3/20/1994,22,55 Troy Pass
2006-61801,Daniels,Mccoy,Carlos,,2/7/1997,19,1469 Karstens Terrace
2002-79367,Long,Rivera,Nicole,,4/1/1993,23,8645 Bobwhite Terrace
2010-14128,Sanders,Greene,Lois,,12/10/1990,26,719 Grasskamp Lane
2002-83800,Peterson,,William,II,2/11/1993,23,3745 Clemons Place
2005-03995,Hawkins,,Carl,,12/28/1997,19,0567 Mitchell Court
2007-44776,Alexander,Boyd,Mary,,8/15/1995,21,47 Crowley Hill
2012-26088,Ruiz,Reid,Daniel,,12/29/1995,21,579 Prentice Avenue
2000-99048,Patterson,Torres,Jason,,1/13/1993,23,25340 Northwestern Street
2017-55874,Grant,Sanchez,Amanda,,2/16/1995,21,4486 Paget Drive
2015-41080,Brooks,Payne,Carlos,,7/16/1990,26,129 Darwin Trail
2011-82090,Frazier,Powell,Lori,,7/24/1991,25,4301 Bonner Lane
2005-15920,Parker,Shaw,Keith,,6/21/1995,21,203 Katie Terrace
2011-75094,Baker,Kelley,Heather,,5/15/1992,24,79542 Grover Lane
2019-10543,Griffin,Rodriguez,Sarah,,2/28/1996,20,7859 Sunnyside Trail
2000-26942,Stone,Weaver,Jimmy,,4/24/1998,18,0 Spenser Junction
2007-78298,Robinson,Watkins,Tina,,9/7/1994,22,2418 Shoshone Place
2004-11699,Ellis,Peters,Larry,I,3/1/1990,26,8 Old Shore Hill
2019-89341,Morrison,Stanley,Ashley,,8/30/1994,22,8 Southridge Point
2012-29196,Fields,Sims,Diana,,6/12/1990,26,5 Northfield Way
2003-41677,Ruiz,Cooper,Keith,,8/27/1997,19,87537 Sauthoff Court
2004-15166,Boyd,Scott,Cheryl,,9/1/1991,25,03281 Troy Pass
2012-27680,Bowman,Ramos,Judy,,9/27/1993,23,0664 Elmside Plaza
2014-95951,Morales,Bradley,Cheryl,,1/8/1992,24,64 Crowley Park
2004-98950,Hunt,,Rose,Jr.,9/4/1992,24,28727 Schiller Hill
2017-73619,Henderson,Barnes,Aaron,,3/3/1994,22,592 6th Avenue
2018-97082,Olson,Bowman,Clarence,II,9/20/1993,23,57411 Sutteridge Point
2019-36121,Mccoy,Hayes,Henry,,3/11/1991,25,52440 Ridge Oak Park
2012-51528,Day,Grant,Shirley,,9/28/1992,24,8542 Ronald Regan Terrace
2007-99334,Richards,Hill,Carl,,10/30/1990,26,643 Ohio Trail
2013-09611,Cole,,Russell,,11/24/1991,25,6819 Rigney Drive
2013-77440,Fernandez,Mcdonald,Doris,,9/17/1993,23,72 Donald Plaza
2004-70224,King,Henderson,Marie,III,3/30/1992,24,6063 Hansons Park
2001-70092,Grant,Pierce,Brenda,,10/31/1994,22,3051 Dexter Way
2010-85514,Meyer,Hansen,Charles,III,4/12/1990,26,33528 Bay Lane
2003-68372,Stone,Walker,Michael,,7/21/1990,26,5 Dorton Crossing
2011-23418,Morris,Sanchez,Donna,,4/16/1990,26,87520 Thompson Drive
2013-06304,Mills,Anderson,Matthew,Jr.,12/3/1993,23,75 Colorado Trail
2015-55883,Stanley,,Diane,III,5/25/1993,23,0 Hayes Plaza
2013-04640,Gomez,Bradley,Helen,Sr.,10/2/1993,23,37 Harbort Lane
2007-75598,Moore,,Ruth,,10/10/1995,21,141 Fisk Alley
2001-59452,Gonzalez,Cruz,Walter,,1/1/1998,18,3914 Westend Hill
2016-50735,Peters,Watkins,Kathy,,9/28/1993,23,8075 Golden Leaf Crossing
2013-47264,Day,Barnes,Betty,,9/10/1993,23,52 Donald Terrace
2013-31534,Warren,Oliver,Kevin,,8/12/1994,22,62322 Sullivan Court
2002-44598,Ellis,Nguyen,Rose,,4/3/1997,19,3 Leroy Terrace
2006-62512,George,Perry,Alice,,12/8/1994,22,12 Blaine Road
2018-80401,Harper,Peterson,Thomas,,2/22/1995,21,7 Valley Edge Trail
2002-48959,Jacobs,Jacobs,Jerry,,10/5/1997,19,69709 Ruskin Court
2013-40982,Reynolds,Porter,Steven,,9/6/1990,26,67206 Katie Street
2003-13875,Willis,Reyes,Jacqueline,,10/21/1991,25,04 Starling Place
2006-26795,Hall,,Willie,,6/16/1993,23,1 School Terrace
2001-92848,Greene,Ramirez,William,,9/24/1993,23,07294 Norway Maple Park
2000-52100,Mills,,Walter,,4/28/1990,26,6591 Esch Parkway
2016-49115,Carroll,Ferguson,Wayne,,3/22/1995,21,34 Schiller Junction
2016-44860,Miller,Thompson,Christine,III,6/19/1994,22,55659 Sherman Alley
2000-20730,Russell,Bradley,Gary,III,8/6/1991,25,34 Springview Point
2004-36339,Hill,Mills,Willie,,2/6/1995,21,51893 Melody Crossing
2003-96665,Kennedy,Lee,Lori,,5/25/1997,19,783 Holmberg Crossing
2009-13969,Crawford,Collins,Donald,III,10/21/1995,21,95 Springs Junction
2013-70995,Little,Bryant,Ruth,II,10/21/1994,22,8502 Hallows Crossing
2006-73274,Duncan,Reid,Diane,,7/6/1991,25,9 Sycamore Trail
2008-88437,Owens,Smith,Phyllis,III,9/25/1997,19,4 Packers Lane
2019-15107,Mills,Mills,Mary,,5/2/1994,22,708 Esch Court
2001-46948,Bryant,Palmer,Debra,Jr.,9/1/1992,24,12 Claremont Park
2013-16797,Riley,Davis,Doris,,7/9/1996,20,5617 Armistice Center
2019-37622,Ferguson,Gutierrez,Kenneth,,10/25/1991,25,2403 Nelson Park
2004-39604,Martin,,Thomas,,3/29/1994,22,45460 Brentwood Road
2013-54793,George,Price,Theresa,Jr.,9/30/1996,20,858 Columbus Terrace
2006-39383,Hernandez,,Jason,,5/20/1997,19,37 Loomis Plaza
2018-43814,Henderson,Bowman,Laura,,11/21/1997,19,49913 Donald Court
2006-97203,Lee,Hunter,Denise,,6/17/1995,21,824 Scofield Street
2015-35166,Peterson,,Pamela,III,7/29/1991,25,7891 Thackeray Terrace
2015-24937,Berry,Russell,Dorothy,,3/28/1991,25,22205 Mandrake Alley
2000-50631,Harvey,Fuller,Judy,,3/30/1994,22,4 Mcguire Pass
2000-32681,Lane,Rogers,Donald,,1/22/1990,26,04 Meadow Vale Point
2011-54006,Jacobs,Alexander,Teresa,Sr.,6/22/1993,23,6 International Place
2000-04160,Jackson,Harrison,Nicole,,11/4/1990,26,59220 Lunder Center
2003-92937,Bradley,Jenkins,Ruby,II,4/5/1997,19,29 Darwin Crossing
2005-64283,Matthews,,Peter,,1/18/1991,25,12715 Golf Course Circle
2004-22506,Little,Chapman,Eric,,2/5/1990,26,26369 Ryan Park
2000-25172,Morris,Webb,Sean,,9/14/1992,24,2 School Alley
2010-98111,Fuller,Oliver,Deborah,,3/20/1994,22,472 Pawling Point
2015-54083,Carter,,Kimberly,,11/6/1994,22,8120 Tennyson Circle
2006-03902,Frazier,Greene,Wayne,,12/29/1991,25,20006 Maryland Plaza
2017-46832,Carter,Scott,Marilyn,,5/27/1992,24,99228 Bayside Road
2016-07645,Lee,Gonzalez,Laura,,9/30/1997,19,0 Shelley Drive
2003-97706,Peterson,,Jimmy,Sr.,5/2/1994,22,411 John Wall Plaza
2003-66501,Jones,Kennedy,John,,11/18/1990,26,41 Maywood Crossing
2004-48376,Weaver,Barnes,Bruce,,4/6/1997,19,49 Merry Pass
2008-91517,Lawrence,Watkins,Terry,,12/31/1990,26,27232 Burrows Hill
2009-52804,Watkins,Diaz,Irene,,8/4/1990,26,8832 Grim Road
2008-84538,Wright,Lane,Terry,,10/23/1994,22,206 Dakota Place
2006-16630,Lawrence,Simmons,Kelly,,1/7/1996,20,69 Lillian Lane
2007-03253,Garza,Reid,Gregory,,2/9/1991,25,36 Buell Lane
2013-30952,Roberts,Barnes,Arthur,,4/8/1994,22,3 La Follette Park
2011-87645,Barnes,Greene,Justin,,12/6/1995,21,38 Darwin Pass
2006-93536,Lopez,,Victor,,7/19/1991,25,80 Dennis Crossing
2013-90130,Meyer,Reyes,Ralph,,12/28/1995,21,9 Hermina Drive
2004-50385,Duncan,Mcdonald,Helen,,7/20/1990,26,06703 Reinke Court
2010-84774,Flores,,Carlos,,12/17/1991,25,15 Butterfield Street
2017-18030,Washington,,Jessica,,4/22/1995,21,14755 Orin Place
2016-41607,Price,Harris,Steven,,12/17/1991,25,019 Division Road
2010-15680,Gardner,Armstrong,Chris,,9/10/1994,22,1892 Elgar Trail
2004-14720,Hanson,,Norma,,2/11/1990,26,450 Buena Vista Crossing
2005-60854,Payne,Carr,Jeremy,,12/5/1991,25,29181 Moulton Parkway
2005-66012,Ortiz,,Ashley,,2/17/1998,18,15 Canary Alley
2006-79035,Vasquez,,Karen,I,10/24/1992,24,8 Sugar Drive
2006-62649,Lawrence,Knight,Gerald,Jr.,10/19/1996,20,7026 Morrow Alley
2003-37285,Ward,Taylor,Douglas,III,10/26/1992,24,254 Oak Valley Plaza
2017-44082,Hunt,Greene,Kevin,,1/29/1992,24,870 Prairieview Drive
2017-70673,Torres,Gordon,Debra,,3/6/1992,24,0776 Welch Alley
2017-12982,Burns,Wheeler,Brandon,,4/19/1992,24,35 Brentwood Junction
2013-29454,Moreno,Hunt,Louis,,3/1/1992,24,03832 Pierstorff Junction
2006-89449,Nichols,Green,Mary,III,4/1/1994,22,97 Kedzie Avenue
2007-91446,Holmes,,Randy,,5/30/1991,25,22084 Mallard Circle
2009-48991,Flores,,George,,8/15/1995,21,15352 Eggendart Center
2003-05207,Edwards,Chavez,Terry,III,4/11/1998,18,76 Rowland Park
2001-30682,Hudson,Ellis,Jesse,III,2/20/1990,26,2467 Debra Avenue
2011-42668,Cunningham,Hicks,Peter,,8/7/1994,22,2 Esch Court
2018-01647,Elliott,Brooks,Edward,III,4/9/1993,23,42 Kim Drive
2014-56812,Alvarez,Bailey,Chris,,4/4/1990,26,859 Waywood Crossing
2014-23339,Rose,Hughes,Larry,III,5/10/1995,21,12 Saint Paul Parkway
2000-89949,Cox,,Joseph,II,9/2/1994,22,5 Westport Pass
2012-49455,Cole,Grant,Joyce,,4/14/1996,20,7 Lakeland Alley
2019-11498,Gomez,Hall,Dennis,,7/19/1995,21,8 Oakridge Drive
2017-44487,Day,Wright,Nicole,,4/18/1995,21,5 Manufacturers Avenue
2004-57063,Welch,Stewart,Kelly,,4/2/1991,25,068 Montana Road
2011-51933,Butler,,Ruth,,2/28/1998,18,749 School Road
2005-91690,Fisher,Armstrong,Ralph,,2/13/1992,24,27 Pond Parkway
2017-98213,White,Simmons,Philip,,12/24/1997,19,84390 Starling Parkway
2013-21846,Bailey,Foster,Gloria,,7/7/1997,19,996 Schlimgen Park
2005-52103,Hernandez,Carter,Louis,,4/20/1990,26,16 Schmedeman Parkway
2002-44818,Hicks,Bradley,Michelle,,5/19/1991,25,72 Sutherland Point
2016-36227,Simmons,Harvey,Anne,,8/13/1992,24,9507 Crest Line Crossing
2018-78825,Frazier,Chapman,Maria,,12/22/1997,19,655 Arizona Alley
2010-46105,Willis,,Kevin,,1/26/1990,26,1 Continental Court
2000-79895,Rodriguez,Parker,Joe,II,9/14/1994,22,82 David Parkway
2018-43086,Franklin,Richards,Paula,,3/14/1997,19,1 Hoepker Place
2012-21442,Campbell,,Jennifer,,1/10/1998,18,5 Westend Junction
2004-12655,Morgan,Crawford,Deborah,,7/6/1991,25,9 Commercial Alley
2005-00344,Holmes,,Amanda,,1/22/1996,20,6769 Mallory Avenue
2015-24950,Wright,Greene,Anthony,III,4/16/1997,19,9752 Karstens Lane
2005-17042,Knight,Burke,Thomas,III,8/23/1991,25,6 Buena Vista Street
2008-21804,Bowman,,Diane,III,6/17/1995,21,0215 Namekagon Parkway
2008-88851,Martinez,Thompson,Nicholas,,11/23/1992,24,0 Scott Crossing
2009-68265,Montgomery,Larson,Diane,,12/16/1993,23,913 Oriole Lane
2009-47923,Kennedy,Webb,Joan,,4/8/1992,24,36 Donald Court
2001-41454,Carter,Hawkins,Ruby,II,9/10/1993,23,1892 Northridge Avenue
2005-29220,Riley,Snyder,Paul,,8/6/1991,25,47452 Emmet Drive
2001-14019,Dunn,Ward,Fred,,3/11/1997,19,38 La Follette Lane
2018-73504,Knight,Morgan,Norma,I,6/7/1995,21,770 Mallory Parkway
2008-39568,Nichols,Morris,Aaron,,12/15/1995,21,63 Hansons Lane
2005-49771,Hill,Greene,Jose,,10/21/1996,20,126 Porter Plaza
2000-71680,Howell,Cunningham,Richard,III,2/3/1997,19,21 Bay Place
2014-27679,Patterson,Jordan,Martin,,1/31/1990,26,719 Park Meadow Hill
2000-48386,Peters,Stephens,Peter,,12/24/1991,25,8751 Debs Lane
2000-95486,Howell,Fernandez,Kelly,,8/9/1990,26,960 Judy Street
2015-11519,Lee,Long,Jesse,Jr.,8/16/1994,22,9334 Clove Place
2001-87646,Cox,Mcdonald,Catherine,,4/3/1995,21,5406 Morrow Hill
2016-55295,Johnson,West,Sara,,7/16/1992,24,443 Village Avenue
2017-56993,Gonzales,Kennedy,Albert,,7/3/1992,24,5 Alpine Road
2005-34889,Foster,Stephens,Kevin,II,12/25/1992,24,9 Summer Ridge Way
2019-54568,Garrett,Stanley,Julie,,6/19/1990,26,130 Bunker Hill Pass
2007-44104,Franklin,Powell,Arthur,,9/10/1994,22,72330 Aberg Place
2014-26673,Nichols,Dean,Anne,,6/13/1993,23,20896 Reindahl Circle
2007-62996,Jones,Arnold,Beverly,II,7/29/1997,19,45881 Brickson Park Pass
2002-90769,Burns,Ray,Wanda,,12/31/1992,24,34983 Dottie Point
2013-95277,Mason,Lynch,Jesse,,3/21/1994,22,46 Trailsway Place
2001-89023,Harrison,Bradley,Joyce,,4/21/1998,18,588 Carberry Avenue
2014-44588,Diaz,Jacobs,Lisa,II,2/8/1992,24,41322 Mitchell Avenue
2010-91641,Garrett,Young,Paula,,11/26/1996,20,531 Michigan Parkway
2012-31683,Fox,Morris,Lillian,Jr.,7/13/1990,26,6988 Tennyson Lane
2012-09448,Owens,Shaw,Peter,,12/21/1990,26,5869 Basil Center
2013-51652,Diaz,,Edward,,1/10/1997,19,5 Stephen Way
2012-19189,Cole,Clark,Martin,,10/10/1991,25,788 Monica Center
2007-76897,Sanders,Gomez,Betty,,10/23/1990,26,5680 Alpine Plaza
2010-19536,Hansen,Edwards,Jason,III,2/5/1997,19,4 Lotheville Crossing
2003-86303,Banks,Chavez,Randy,III,4/24/1998,18,16485 Vernon Parkway
2011-53404,Dixon,Martinez,Joan,,7/7/1991,25,64 Welch Hill
2007-39426,Robinson,Mason,Kimberly,I,12/21/1997,19,406 Melrose Center
2006-90277,Webb,Chavez,Debra,,6/26/1994,22,821 3rd Avenue
2014-38003,Smith,Bishop,Bruce,,2/6/1993,23,880 Northridge Circle
2013-43804,Hill,Jackson,Paula,Sr.,2/22/1994,22,709 American Hill
2005-80526,Fields,Vasquez,Patricia,,9/15/1994,22,02 School Way
2001-91533,Brooks,Alvarez,Gregory,,7/19/1997,19,4074 Drewry Place
2012-29998,Grant,Alexander,Ann,,3/5/1996,20,7788 Thompson Way
2018-17810,Cooper,Taylor,Donald,III,4/25/1990,26,763 International Point
2002-60438,Lawrence,Murray,Ronald,,7/27/1995,21,56599 Onsgard Pass
2006-22477,Nichols,Watkins,Janet,,3/18/1995,21,35 Maryland Place
2016-54588,Bradley,Ortiz,Matthew,,5/16/1992,24,86147 Merry Street
2003-33931,Parker,Banks,Annie,,7/18/1995,21,122 Barnett Pass
2018-82996,Butler,Ford,Robin,,5/26/1996,20,2288 Heath Terrace
2011-56291,Campbell,Weaver,Bonnie,I,4/14/1997,19,7 Talisman Drive
2018-87299,Chapman,Sanchez,Michelle,III,1/6/1994,22,89 Dapin Point
2002-66404,Rivera,Murphy,Peter,,2/6/1990,26,40639 Mendota Plaza
2005-22353,Gordon,Morgan,Gloria,,5/16/1997,19,1100 Carpenter Parkway
2005-04882,Nelson,Gonzalez,Wanda,III,7/17/1990,26,0767 Golf Drive
2016-15101,Reid,Bryant,James,,2/23/1990,26,819 Dorton Place
2003-32565,Anderson,Murphy,Steve,,1/22/1990,26,886 Oneill Road
2012-65641,Jenkins,Webb,Judy,,9/16/1994,22,7 Boyd Center
2019-78584,Warren,Burns,Nicole,,7/23/1990,26,71875 School Point
2011-79184,Wells,Morris,Judy,,5/26/1995,21,042 Sloan Road
2018-03299,Rivera,Stewart,Nancy,II,3/9/1990,26,074 Buhler Hill
2006-77990,Nelson,Russell,Marilyn,III,7/1/1994,22,47 Barby Alley
2005-46534,Gibson,Williams,Alice,III,6/3/1994,22,4 Kinsman Way
2006-65076,Grant,Thompson,Steve,,6/24/1996,20,162 Lakewood Gardens Terrace
2012-85921,Ray,Warren,Patrick,,8/3/1993,23,52361 Bay Alley
2001-24351,Ruiz,Coleman,Teresa,,6/27/1996,20,4 Sundown Junction
2006-43887,Marshall,Stanley,Raymond,,10/11/1993,23,6 Rusk Trail
2008-62488,Hansen,Edwards,Kathryn,,4/12/1991,25,382 Hansons Crossing
2014-83411,Tucker,Wells,Ann,,6/25/1990,26,178 Fieldstone Plaza
2003-84413,Martin,Hughes,Rachel,,8/28/1993,23,17402 Fair Oaks Drive
2004-67989,West,,Bruce,,1/14/1994,22,15217 Mayer Pass
2012-58707,West,Carter,Wanda,,11/4/1995,21,999 Dakota Park
2004-46579,Grant,Mitchell,Bruce,III,10/12/1991,25,0 Springview Avenue
2006-28596,Campbell,,Betty,,5/13/1990,26,093 Talisman Trail
2002-46418,Hughes,Moreno,Deborah,,8/10/1992,24,231 5th Drive
2016-31924,Daniels,Reynolds,Patricia,,3/18/1998,18,4 Southridge Place
2013-99807,Reynolds,Hill,Douglas,,10/7/1992,24,8524 Stang Hill
2014-06796,Montgomery,Jacobs,Bobby,,11/9/1996,20,8504 Evergreen Parkway
2001-07813,Coleman,Adams,Teresa,,11/12/1995,21,96 Warrior Point
2019-12500,Evans,Ford,Janet,,4/21/1993,23,180 Hollow Ridge Parkway
2018-62494,Howard,Green,Henry,,3/6/1992,24,31520 Elmside Court
2014-32540,Perez,Richardson,Albert,,8/7/1997,19,14510 Jana Trail
2001-35877,Fowler,Jacobs,Daniel,III,4/28/1997,19,952 Grim Parkway
2008-30448,Bell,Sims,Tina,,4/13/1994,22,4660 Stuart Place
2017-27525,Peters,Rivera,Anna,,12/15/1994,22,933 Ridge Oak Trail
2009-22630,Price,Reed,Gerald,,10/25/1994,22,149 Debs Center
2005-45423,Kennedy,Larson,Lisa,,3/7/1992,24,8 Saint Paul Court
2015-04063,Watkins,Nguyen,Bonnie,,12/11/1997,19,25843 High Crossing Street
2018-63717,Edwards,Howard,Margaret,III,3/18/1995,21,29 Sherman Street
2013-25865,Alvarez,Simmons,Susan,,4/18/1991,25,917 Sutteridge Crossing
2018-85335,Rodriguez,Greene,Wayne,,5/12/1996,20,8249 Lukken Crossing
2014-53148,Bishop,Thompson,Shawn,,5/10/1993,23,46 Orin Lane
2011-99469,Tucker,Sanchez,Amy,III,3/2/1992,24,591 Twin Pines Park
2012-13588,Woods,Mendoza,Katherine,,7/19/1992,24,626 Nova Point
2012-30522,Armstrong,Chavez,Kathy,Sr.,9/8/1996,20,54 Warbler Trail
2006-86760,Jones,Franklin,Ryan,III,3/24/1993,23,94819 Crowley Alley
2013-16123,Sanders,Graham,Diana,II,11/2/1993,23,040 Transport Center
2007-19894,Diaz,Bishop,Jacqueline,III,3/5/1992,24,55267 Maple Wood Court
2016-44403,Brooks,Harrison,Joan,II,1/7/1990,26,43105 Laurel Crossing
2002-89856,Davis,Hawkins,Keith,,12/3/1993,23,47317 Lukken Circle
2019-99164,Anderson,Lewis,Brian,,6/25/1994,22,7776 Veith Plaza
2005-31099,Roberts,Murphy,Martha,,3/24/1990,26,30 Lotheville Point
2004-44774,Perry,Lewis,Kathleen,,1/14/1993,23,3 Messerschmidt Parkway
2012-83506,Hill,Burton,David,,4/14/1998,18,75 Dennis Point
2004-07116,Cruz,Evans,Amy,,12/23/1994,22,681 North Avenue
2004-81478,Walker,,Pamela,,1/1/1994,22,935 Dryden Avenue
2012-09062,Robinson,Rivera,Doris,II,8/8/1991,25,28916 Pleasure Road
2007-49167,Duncan,Fernandez,Carolyn,,10/6/1994,22,0910 Memorial Place
2004-97673,Walker,Hunt,Raymond,III,8/30/1996,20,3 Vahlen Circle
2006-97285,Russell,,Kevin,,3/18/1991,25,2763 Clyde Gallagher Drive
2006-55398,Moore,Mcdonald,Jennifer,,6/3/1997,19,96 Pepper Wood Street
2006-79093,Harrison,Hicks,Jacqueline,,6/20/1992,24,61396 Bowman Road
2002-03399,Gomez,Parker,Johnny,,6/19/1994,22,950 John Wall Hill
2006-82892,Martin,Willis,Julie,Sr.,1/3/1994,22,5585 Victoria Plaza
2015-36670,Griffin,Hawkins,Timothy,III,6/15/1990,26,1937 Melody Park
2016-06741,Sanchez,Simmons,Irene,,11/19/1996,20,79718 Graceland Way
2017-59960,Castillo,Howard,Lois,III,3/23/1991,25,868 Eagan Point
2004-92623,Chavez,Kelly,Irene,,8/10/1997,19,8731 Alpine Drive
2014-30972,Richardson,Watkins,Todd,,4/2/1992,24,123 Mcbride Pass
2000-08295,Porter,Cole,Annie,,8/19/1996,20,756 Luster Court
2001-20401,Banks,Tucker,Doris,Jr.,6/19/1990,26,978 Randy Circle
2002-60614,Lewis,Stewart,Kimberly,,10/7/1993,23,1747 Onsgard Terrace
